会員番号,Googleメール,GoogleID,名前,性別,年代,業種,職種,現在地,出身地,自己紹介,こんな人と繋がりたい,こんな人とは繋がりたくない,タグ,プロフィール画像URL,LINE,Instagram,X,YouTube,掲載中,社長マーク,社長マーク状態,オンライン状態,掲載日,登録日時,更新日時,最終ログイン日時
00115,user00115@example.com,google-sub-00115,石田和也,男性,60代,製造業,専務取締役,東京都,兵庫県,製造業で活動する専務取締役の石田和也です。会員No.00115として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,東京",https://i.pravatar.cc/150?img=45,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-04-13 15:00:00,2026-03-23 15:00:00,2026-04-13 22:00:00,2026-04-13 22:00:00
00116,user00116@example.com,google-sub-00116,上田さくら,女性,20代,IT・通信,工場長,神奈川県,佐賀県,IT・通信で活動する工場長の上田さくらです。会員No.00116として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,神奈川",https://i.pravatar.cc/150?img=46,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-28 16:00:00,2026-04-07 16:00:00,2026-04-29 18:00:00,2026-04-29 18:00:00
00117,user00117@example.com,google-sub-00117,森田和也,男性,30代,小売,部長,埼玉県,新潟県,小売で活動する部長の森田和也です。会員No.00117として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,埼玉",https://i.pravatar.cc/150?img=47,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-11 16:00:00,2026-04-24 16:00:00,2026-05-12 00:00:00,2026-05-12 00:00:00
00118,user00118@example.com,google-sub-00118,原優子,女性,40代,教育,個人事業主,千葉県,東京都,教育で活動する個人事業主の原優子です。会員No.00118として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,千葉",https://i.pravatar.cc/150?img=48,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-09 13:00:00,2026-04-18 13:00:00,2026-05-11 12:00:00,2026-05-11 12:00:00
00119,user00119@example.com,google-sub-00119,柴田直樹,男性,50代,医療・福祉,フリーランス,愛知県,千葉県,医療・福祉で活動するフリーランスの柴田直樹です。会員No.00119として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,愛知",https://i.pravatar.cc/150?img=49,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-04-14 07:00:00,2026-04-05 07:00:00,2026-04-15 08:00:00,2026-04-15 08:00:00
00120,user00120@example.com,google-sub-00120,酒井陽菜,女性,60代,その他,その他,大阪府,京都府,その他で活動するその他の酒井陽菜です。会員No.00120として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,大阪",https://i.pravatar.cc/150?img=50,,,,https://youtube.com/,FALSE,FALSE,なし,オフライン,2026-03-18 01:00:00,2026-03-09 01:00:00,2026-03-18 19:00:00,2026-03-09 01:00:00
00121,user00121@example.com,google-sub-00121,佐藤誠,男性,20代,サービス業,経営者,京都府,福岡県,サービス業で活動する経営者の佐藤誠です。会員No.00121として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,京",https://i.pravatar.cc/150?img=51,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 07:00:00,2026-06-19 07:00:00,2026-07-10 00:00:00,2026-07-10 00:00:00
00122,user00122@example.com,google-sub-00122,鈴木結衣,女性,30代,美容・健康,代表取締役,兵庫県,静岡県,美容・健康で活動する代表取締役の鈴木結衣です。会員No.00122として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,兵庫",https://i.pravatar.cc/150?img=52,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 11:00:00,2026-06-24 11:00:00,2026-07-10 06:00:00,2026-07-10 06:00:00
00123,user00123@example.com,google-sub-00123,高橋誠,男性,40代,建設・不動産,CEO,広島県,宮城県,建設・不動産で活動するCEOの高橋誠です。会員No.00123として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,広島",https://i.pravatar.cc/150?img=53,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-27 10:00:00,2026-04-02 10:00:00,2026-04-29 09:00:00,2026-04-29 09:00:00
00124,user00124@example.com,google-sub-00124,田中愛,女性,50代,飲食・サービス,サロンオーナー,福岡県,埼玉県,飲食・サービスで活動するサロンオーナーの田中愛です。会員No.00124として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,福岡",https://i.pravatar.cc/150?img=54,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-08 23:00:00,2026-03-30 23:00:00,2026-04-10 07:00:00,2026-04-10 07:00:00
00125,user00125@example.com,google-sub-00125,伊藤颯太,男性,60代,製造業,専務取締役,佐賀県,大阪府,製造業で活動する専務取締役の伊藤颯太です。会員No.00125として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,佐賀",https://i.pravatar.cc/150?img=55,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-20 23:00:00,2026-04-24 23:00:00,2026-05-22 23:00:00,2026-05-22 23:00:00
00126,user00126@example.com,google-sub-00126,渡辺美穂,女性,20代,IT・通信,工場長,沖縄県,広島県,IT・通信で活動する工場長の渡辺美穂です。会員No.00126として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,沖縄",https://i.pravatar.cc/150?img=56,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オンライン,2026-04-06 16:00:00,2026-03-30 16:00:00,2026-04-07 04:00:00,2026-04-07 04:00:00
00127,user00127@example.com,google-sub-00127,山本拓也,男性,30代,小売,部長,静岡県,沖縄県,小売で活動する部長の山本拓也です。会員No.00127として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,静岡",https://i.pravatar.cc/150?img=57,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-29 00:00:00,2026-06-22 00:00:00,2026-06-30 06:00:00,2026-06-30 06:00:00
00128,user00128@example.com,google-sub-00128,中村美羽,女性,40代,教育,個人事業主,新潟県,北海道,教育で活動する個人事業主の中村美羽です。会員No.00128として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,新潟",https://i.pravatar.cc/150?img=58,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-15 23:00:00,2026-03-01 23:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00
00129,user00129@example.com,google-sub-00129,小林陸,男性,50代,医療・福祉,フリーランス,北海道,神奈川県,医療・福祉で活動するフリーランスの小林陸です。会員No.00129として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,北海道",https://i.pravatar.cc/150?img=59,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-07 13:00:00,2026-05-23 13:00:00,2026-06-08 14:00:00,2026-06-08 14:00:00
00130,user00130@example.com,google-sub-00130,加藤美穂,女性,60代,その他,その他,宮城県,愛知県,その他で活動するその他の加藤美穂です。会員No.00130として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,宮城",https://i.pravatar.cc/150?img=60,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-06-13 05:00:00,2026-05-22 05:00:00,2026-06-13 05:00:00,2026-06-13 05:00:00
00131,user00131@example.com,google-sub-00131,吉田翔太,男性,20代,サービス業,経営者,東京都,兵庫県,サービス業で活動する経営者の吉田翔太です。会員No.00131として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,東京",https://i.pravatar.cc/150?img=61,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-05 12:00:00,2026-06-28 12:00:00,2026-07-05 23:00:00,2026-07-05 23:00:00
00132,user00132@example.com,google-sub-00132,山田芽依,女性,30代,美容・健康,代表取締役,神奈川県,佐賀県,美容・健康で活動する代表取締役の山田芽依です。会員No.00132として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,神奈川",https://i.pravatar.cc/150?img=62,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-07-09 00:00:00,2026-06-22 00:00:00,2026-07-09 15:00:00,2026-07-09 15:00:00
00133,user00133@example.com,google-sub-00133,佐々木翔太,男性,40代,建設・不動産,CEO,埼玉県,新潟県,建設・不動産で活動するCEOの佐々木翔太です。会員No.00133として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,埼玉",https://i.pravatar.cc/150?img=63,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-05-04 21:00:00,2026-04-09 21:00:00,2026-05-06 02:00:00,2026-05-06 02:00:00
00134,user00134@example.com,google-sub-00134,山口芽依,女性,50代,飲食・サービス,サロンオーナー,千葉県,東京都,飲食・サービスで活動するサロンオーナーの山口芽依です。会員No.00134として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,千葉",https://i.pravatar.cc/150?img=64,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-21 06:00:00,2026-04-11 06:00:00,2026-04-23 06:00:00,2026-04-23 06:00:00
00135,user00135@example.com,google-sub-00135,松本蓮,男性,60代,製造業,専務取締役,愛知県,千葉県,製造業で活動する専務取締役の松本蓮です。会員No.00135として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,愛知",https://i.pravatar.cc/150?img=65,,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-04-14 09:00:00,2026-04-01 09:00:00,2026-04-15 20:00:00,2026-04-15 20:00:00
00136,user00136@example.com,google-sub-00136,井上葵,女性,20代,IT・通信,工場長,大阪府,京都府,IT・通信で活動する工場長の井上葵です。会員No.00136として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,大阪",https://i.pravatar.cc/150?img=66,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-11 10:00:00,2026-05-28 10:00:00,2026-06-12 02:00:00,2026-06-12 02:00:00
00137,user00137@example.com,google-sub-00137,木村剛,男性,30代,小売,部長,京都府,福岡県,小売で活動する部長の木村剛です。会員No.00137として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,京",https://i.pravatar.cc/150?img=67,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-16 05:00:00,2026-03-08 05:00:00,2026-03-17 14:00:00,2026-03-17 14:00:00
00138,user00138@example.com,google-sub-00138,林心,女性,40代,教育,個人事業主,兵庫県,静岡県,教育で活動する個人事業主の林心です。会員No.00138として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,兵庫",https://i.pravatar.cc/150?img=68,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-04-12 18:00:00,2026-04-04 18:00:00,2026-04-13 22:00:00,2026-04-13 22:00:00
00139,user00139@example.com,google-sub-00139,斎藤大輔,男性,50代,医療・福祉,フリーランス,広島県,宮城県,医療・福祉で活動するフリーランスの斎藤大輔です。会員No.00139として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,広島",https://i.pravatar.cc/150?img=69,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-01 16:00:00,2026-03-25 16:00:00,2026-04-02 09:00:00,2026-04-02 09:00:00
00140,user00140@example.com,google-sub-00140,清水結衣,女性,60代,その他,その他,福岡県,埼玉県,その他で活動するその他の清水結衣です。会員No.00140として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,福岡",https://i.pravatar.cc/150?img=70,https://line.me/,,,,TRUE,FALSE,なし,オンライン,2026-05-22 08:00:00,2026-05-20 08:00:00,2026-05-22 16:00:00,2026-05-22 16:00:00
00141,user00141@example.com,google-sub-00141,阿部拓也,男性,20代,サービス業,経営者,佐賀県,大阪府,サービス業で活動する経営者の阿部拓也です。会員No.00141として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,佐賀",https://i.pravatar.cc/150?img=1,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-10 13:00:00,2026-06-18 13:00:00,2026-07-10 22:00:00,2026-07-10 22:00:00
00142,user00142@example.com,google-sub-00142,池田優子,女性,30代,美容・健康,代表取締役,沖縄県,広島県,美容・健康で活動する代表取締役の池田優子です。会員No.00142として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,沖縄",https://i.pravatar.cc/150?img=2,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-11 12:00:00,2026-06-28 12:00:00,2026-07-12 09:00:00,2026-07-12 09:00:00
00143,user00143@example.com,google-sub-00143,森蒼,男性,40代,建設・不動産,CEO,静岡県,沖縄県,建設・不動産で活動するCEOの森蒼です。会員No.00143として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,静岡",https://i.pravatar.cc/150?img=3,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-03 12:00:00,2026-05-02 12:00:00,2026-05-04 01:00:00,2026-05-04 01:00:00
00144,user00144@example.com,google-sub-00144,橋本凛,女性,50代,飲食・サービス,サロンオーナー,新潟県,北海道,飲食・サービスで活動するサロンオーナーの橋本凛です。会員No.00144として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,新潟",https://i.pravatar.cc/150?img=4,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-13 07:00:00,2026-04-13 07:00:00,2026-05-15 03:00:00,2026-05-15 03:00:00
00145,user00145@example.com,google-sub-00145,山下太郎,男性,60代,製造業,専務取締役,北海道,神奈川県,製造業で活動する専務取締役の山下太郎です。会員No.00145として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,北海道",https://i.pravatar.cc/150?img=5,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-03-14 07:00:00,2026-03-02 07:00:00,2026-03-15 13:00:00,2026-03-15 13:00:00
00146,user00146@example.com,google-sub-00146,石川美咲,女性,20代,IT・通信,工場長,宮城県,愛知県,IT・通信で活動する工場長の石川美咲です。会員No.00146として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,宮城",https://i.pravatar.cc/150?img=6,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-17 16:00:00,2026-04-23 16:00:00,2026-05-18 16:00:00,2026-05-18 16:00:00
00147,user00147@example.com,google-sub-00147,中島悠人,男性,30代,小売,部長,東京都,兵庫県,小売で活動する部長の中島悠人です。会員No.00147として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,東京",https://i.pravatar.cc/150?img=7,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-04-24 08:00:00,2026-03-30 08:00:00,2026-04-25 22:00:00,2026-04-25 22:00:00
00148,user00148@example.com,google-sub-00148,前田美穂,女性,40代,教育,個人事業主,神奈川県,佐賀県,教育で活動する個人事業主の前田美穂です。会員No.00148として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,神奈川",https://i.pravatar.cc/150?img=8,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-30 18:00:00,2026-04-22 18:00:00,2026-05-01 21:00:00,2026-05-01 21:00:00
00149,user00149@example.com,google-sub-00149,藤田陽翔,男性,50代,医療・福祉,フリーランス,埼玉県,新潟県,医療・福祉で活動するフリーランスの藤田陽翔です。会員No.00149として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,埼玉",https://i.pravatar.cc/150?img=9,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-28 13:00:00,2026-06-18 13:00:00,2026-06-30 07:00:00,2026-06-30 07:00:00
00150,user00150@example.com,google-sub-00150,岡田花,女性,60代,その他,その他,千葉県,東京都,その他で活動するその他の岡田花です。会員No.00150として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,千葉",https://i.pravatar.cc/150?img=10,,https://instagram.com/,,https://youtube.com/,FALSE,FALSE,なし,オフライン,2026-03-31 20:00:00,2026-03-05 20:00:00,2026-04-02 01:00:00,2026-03-05 20:00:00
00151,user00151@example.com,google-sub-00151,後藤拓也,男性,20代,サービス業,経営者,愛知県,千葉県,サービス業で活動する経営者の後藤拓也です。会員No.00151として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,愛知",https://i.pravatar.cc/150?img=11,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-07 08:00:00,2026-07-07 08:00:00,2026-07-08 09:00:00,2026-07-08 09:00:00
00152,user00152@example.com,google-sub-00152,長谷川莉子,女性,30代,美容・健康,代表取締役,大阪府,京都府,美容・健康で活動する代表取締役の長谷川莉子です。会員No.00152として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,大阪",https://i.pravatar.cc/150?img=12,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 01:00:00,2026-07-06 01:00:00,2026-07-09 18:00:00,2026-07-09 18:00:00
00153,user00153@example.com,google-sub-00153,石井悠人,男性,40代,建設・不動産,CEO,京都府,福岡県,建設・不動産で活動するCEOの石井悠人です。会員No.00153として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,京",https://i.pravatar.cc/150?img=13,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-14 11:00:00,2026-06-09 11:00:00,2026-06-14 14:00:00,2026-06-14 14:00:00
00154,user00154@example.com,google-sub-00154,村上奈々,女性,50代,飲食・サービス,サロンオーナー,兵庫県,静岡県,飲食・サービスで活動するサロンオーナーの村上奈々です。会員No.00154として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,兵庫",https://i.pravatar.cc/150?img=14,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-05-14 15:00:00,2026-05-08 15:00:00,2026-05-15 20:00:00,2026-05-15 20:00:00
00155,user00155@example.com,google-sub-00155,近藤和也,男性,60代,製造業,専務取締役,広島県,宮城県,製造業で活動する専務取締役の近藤和也です。会員No.00155として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,広島",https://i.pravatar.cc/150?img=15,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-19 13:00:00,2026-05-11 13:00:00,2026-05-21 13:00:00,2026-05-21 13:00:00
00156,user00156@example.com,google-sub-00156,坂本凛,女性,20代,IT・通信,工場長,福岡県,埼玉県,IT・通信で活動する工場長の坂本凛です。会員No.00156として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,福岡",https://i.pravatar.cc/150?img=16,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-30 23:00:00,2026-05-15 23:00:00,2026-05-31 00:00:00,2026-05-31 00:00:00
00157,user00157@example.com,google-sub-00157,遠藤蒼,男性,30代,小売,部長,佐賀県,大阪府,小売で活動する部長の遠藤蒼です。会員No.00157として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,佐賀",https://i.pravatar.cc/150?img=17,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-25 14:00:00,2026-06-18 14:00:00,2026-06-27 07:00:00,2026-06-27 07:00:00
00158,user00158@example.com,google-sub-00158,青木恵,女性,40代,教育,個人事業主,沖縄県,広島県,教育で活動する個人事業主の青木恵です。会員No.00158として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,沖縄",https://i.pravatar.cc/150?img=18,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-24 05:00:00,2026-03-23 05:00:00,2026-03-26 05:00:00,2026-03-26 05:00:00
00159,user00159@example.com,google-sub-00159,藤井太郎,男性,50代,医療・福祉,フリーランス,静岡県,沖縄県,医療・福祉で活動するフリーランスの藤井太郎です。会員No.00159として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,静岡",https://i.pravatar.cc/150?img=19,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-31 19:00:00,2026-05-05 19:00:00,2026-05-31 20:00:00,2026-05-31 20:00:00
00160,user00160@example.com,google-sub-00160,西村美羽,女性,60代,その他,その他,新潟県,北海道,その他で活動するその他の西村美羽です。会員No.00160として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,新潟",https://i.pravatar.cc/150?img=20,https://line.me/,,,,TRUE,FALSE,なし,オフライン,2026-06-12 18:00:00,2026-06-08 18:00:00,2026-06-14 00:00:00,2026-06-14 00:00:00
00161,user00161@example.com,google-sub-00161,福田翔太,男性,20代,サービス業,経営者,北海道,神奈川県,サービス業で活動する経営者の福田翔太です。会員No.00161として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,北海道",https://i.pravatar.cc/150?img=21,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-07-07 19:00:00,2026-06-23 19:00:00,2026-07-09 15:00:00,2026-07-09 15:00:00
00162,user00162@example.com,google-sub-00162,太田奈々,女性,30代,美容・健康,代表取締役,宮城県,愛知県,美容・健康で活動する代表取締役の太田奈々です。会員No.00162として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,宮城",https://i.pravatar.cc/150?img=22,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-07-05 14:00:00,2026-06-30 14:00:00,2026-07-07 04:00:00,2026-07-07 04:00:00
00163,user00163@example.com,google-sub-00163,三浦颯太,男性,40代,建設・不動産,CEO,東京都,兵庫県,建設・不動産で活動するCEOの三浦颯太です。会員No.00163として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,東京",https://i.pravatar.cc/150?img=23,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-28 22:00:00,2026-03-04 22:00:00,2026-03-29 08:00:00,2026-03-29 08:00:00
00164,user00164@example.com,google-sub-00164,岡本さくら,女性,50代,飲食・サービス,サロンオーナー,神奈川県,佐賀県,飲食・サービスで活動するサロンオーナーの岡本さくらです。会員No.00164として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,神奈川",https://i.pravatar.cc/150?img=24,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-18 07:00:00,2026-06-18 07:00:00,2026-06-19 02:00:00,2026-06-19 02:00:00
00165,user00165@example.com,google-sub-00165,松田陸,男性,60代,製造業,専務取締役,埼玉県,新潟県,製造業で活動する専務取締役の松田陸です。会員No.00165として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,埼玉",https://i.pravatar.cc/150?img=25,,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-04-06 13:00:00,2026-03-25 13:00:00,2026-04-08 10:00:00,2026-04-08 10:00:00
00166,user00166@example.com,google-sub-00166,中川優子,女性,20代,IT・通信,工場長,千葉県,東京都,IT・通信で活動する工場長の中川優子です。会員No.00166として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,千葉",https://i.pravatar.cc/150?img=26,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-22 07:00:00,2026-05-31 07:00:00,2026-06-23 23:00:00,2026-06-23 23:00:00
00167,user00167@example.com,google-sub-00167,中野剛,男性,30代,小売,部長,愛知県,千葉県,小売で活動する部長の中野剛です。会員No.00167として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,愛知",https://i.pravatar.cc/150?img=27,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-18 16:00:00,2026-05-22 16:00:00,2026-06-20 11:00:00,2026-06-20 11:00:00
00168,user00168@example.com,google-sub-00168,原田美羽,女性,40代,教育,個人事業主,大阪府,京都府,教育で活動する個人事業主の原田美羽です。会員No.00168として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,大阪",https://i.pravatar.cc/150?img=28,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オンライン,2026-03-20 22:00:00,2026-02-23 22:00:00,2026-03-22 10:00:00,2026-03-22 10:00:00
00169,user00169@example.com,google-sub-00169,小野健太,男性,50代,医療・福祉,フリーランス,京都府,福岡県,医療・福祉で活動するフリーランスの小野健太です。会員No.00169として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,京",https://i.pravatar.cc/150?img=29,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-18 08:00:00,2026-05-05 08:00:00,2026-05-20 02:00:00,2026-05-20 02:00:00
00170,user00170@example.com,google-sub-00170,田村美月,女性,60代,その他,その他,兵庫県,静岡県,その他で活動するその他の田村美月です。会員No.00170として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,兵庫",https://i.pravatar.cc/150?img=30,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-06-23 09:00:00,2026-06-03 09:00:00,2026-06-24 06:00:00,2026-06-24 06:00:00
00171,user00171@example.com,google-sub-00171,竹内太郎,男性,20代,サービス業,経営者,広島県,宮城県,サービス業で活動する経営者の竹内太郎です。会員No.00171として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,広島",https://i.pravatar.cc/150?img=31,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-05 12:00:00,2026-06-09 12:00:00,2026-07-06 19:00:00,2026-07-06 19:00:00
00172,user00172@example.com,google-sub-00172,金子彩,女性,30代,美容・健康,代表取締役,福岡県,埼玉県,美容・健康で活動する代表取締役の金子彩です。会員No.00172として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,福岡",https://i.pravatar.cc/150?img=32,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 14:00:00,2026-06-18 14:00:00,2026-07-09 19:00:00,2026-07-09 19:00:00
